Título;Gênero;Rótulos de Gênero;Pré-estreia;Temporadas;Temporadas Analisadas;Episódios Analisados;Duração;Duração Mínima;Duração Máxima;Status;Ativo;Tabela;Linguagem;Data de Inclusão;Data de Alteração
Knights of the Zodiac: Saint Seiya;action;action;2019-07-19;a ser anunciado;0;0;TBA;0;0;Pending;1;Anime;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
VeggieTales in the City;childrens-animation;childrens-animation;2017-02-24;2 seasons, 26 episodes;2;26;23 min.;23;23;Ended;0;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Wet Hot American Summer: First Day of Camp;satirical comedy;satirical,comedy;2015-07-31;8 episodes;0;8;27–30 min.;27;30;Miniseries;0;Comedy;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
The OA;mystery;mystery;2016-12-16;2 parts, 16 episodes;0;16;31–71 min.;31;71;Pending;1;Drama;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
The Rain;post-apocalyptic drama;post-apocalyptic,drama;2018-05-04;2 seasons, 14 episodes;2;14;36–49 min.;36;49;Renewed;1;ForeignLanguage;Danish;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
House of Cards;political drama;political,drama;2013-02-01;6 seasons, 73 episodes;6;73;42–59 min.;42;59;Ended;0;Drama;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Aggretsuko;comedy;comedy;2018-04-20;2 seasons, 20 episodes;2;20;15–20 min.;15;20;Pending;1;Anime;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Queer Eye;makeover reality;makeover,reality;2018-02-07;3 seasons, 24 episodes;3;24;43–52 min.;43;52;Renewed;1;Reality;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Shadow;thriller;thriller;2019-03-08;1 season, 8 episodes;1;8;40–49 min.;40;49;Pending;1;Drama;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
The Dragon Prince;childrens-animation;childrens-animation;2018-09-14;2 seasons, 18 episodes;2;18;25–27 min.;25;27;Renewed;1;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Afflicted;docu-series;docu-series;2018-08-10;1 season, 7 episodes;1;7;37–46 min.;37;46;Pending;1;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Kong: King of the Apes;childrens-animation;childrens-animation;2016-04-15;2 seasons, 23 episodes;2;23;22–85 min.;22;85;Ended;0;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Beyond Stranger Things;aftershow;aftershow;2017-10-27;1 season, 7 episodes;1;7;15–25 min.;15;25;Pending;1;VarietyTalk;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Tidelands;supernatural crime drama;supernatural,crime,drama;2018-12-14;1 season, 8 episodes;1;8;36–48 min.;36;48;Pending;1;Drama;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Chambers;teen psychological thriller;teen,psychological,thriller;2019-04-26;1 season, 10 episodes;1;10;38–51 min.;38;51;Ended;0;Drama;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
The Haunting;horror anthology;horror,anthology;2018-10-12;1 season, 10 episodes;1;10;43–71 min.;43;71;Renewed;1;Drama;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Popples;childrens-animation;childrens-animation;2015-10-30;3 seasons, 26 episodes;3;26;24 min.;24;24;Ended;0;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Alexa & Katie;sitcom;sitcom;2018-03-23;2 seasons, 23 episodes;2;23;22–30 min.;22;30;Renewed;1;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
The Last Czars;docu-series;docu-series;2019-07-03;a ser anunciado;0;0;TBA;0;0;Pending;1;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Magic for Humans;reality;reality;2018-08-17;1 season, 6 episodes;1;6;22–25 min.;22;25;Renewed;1;Reality;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Fastest Car;motoring television series;motoring,television,series;2018-04-06;1 season, 8 episodes;1;8;43–52 min.;43;52;Renewed;1;Reality;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Dancing Queen;celebrity;celebrity;2018-10-05;1 season, 8 episodes;1;8;38–46 min.;38;46;Pending;1;Reality;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Fuller House;sitcom;sitcom;2016-02-26;4 seasons, 57 episodes;4;57;24–36 min.;24;36;Renewed;1;Comedy;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Skylanders Academy;childrens-animation;childrens-animation;2016-10-28;3 seasons, 38 episodes;3;38;24–44 min.;24;44;Ended;0;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Examination of Conscience;true crime;true,crime;2019-01-25;1 season, 3 episodes;1;3;51–54 min.;51;54;Pending;1;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Conversations with a Killer: The Ted Bundy Tapes;true crime;true,crime;2019-01-24;4 episodes;0;4;51–74 min.;51;74;Miniseries;0;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
13 Reasons Why;teen drama/mystery;teen,drama,mystery;2017-03-31;2 seasons, 26 episodes;2;26;49–70 min.;49;70;Renewed;1;Drama;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Maniac;dark comedy;dark,comedy;2018-09-21;10 episodes;0;10;27–47 min.;27;47;Miniseries;0;Comedy;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Huge in France;comedy;comedy;2019-04-12;1 season, 8 episodes;1;8;28–34 min.;28;34;Pending;1;Comedy;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
The Chef Show;culinary art;culinary,art;2019-06-07;1 season, 8 episodes;1;8;26–33 min.;26;33;Pending;1;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Dear White People;satire/drama;satire,drama;2017-04-28;2 volumes, 20 episodes;0;20;21–36 min.;21;36;Renewed;1;Comedy;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Hero Mask;crime;crime;2018-12-03;1 season, 15 episodes;1;15;25 min.;0;0;Pending;1;Anime;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Kulipari: An Army of Frogs;childrens-animation;childrens-animation;2016-09-02;1 season, 13 episodes;1;13;22–23 min.;22;23;Ended;0;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Typewriter;horror;horror;2019-07-19;a ser anunciado;0;0;TBA;0;0;Pending;1;ForeignLanguage;Hindi;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
The Dark Crystal: Age of Resistance;fantasy;fantasy;2019-08-30;1 season, 10 episodes;1;10;TBA;0;0;Pending;1;Drama;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Big Mouth;coming-of-age comedy;coming-of-age,comedy;2017-09-29;2 seasons, 21 episodes;2;21;25–46 min.;25;46;Renewed;1;Animation;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
It's Bruno!;comedy;comedy;2019-05-17;1 season, 8 episodes;1;8;12–21 min.;12;21;Pending;1;Comedy;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Edha;drama;drama;2018-03-16;1 season, 10 episodes;1;10;38–43 min.;38;43;Ended;0;ForeignLanguage;Spanish;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Diablero;horror fantasy thriller;horror,fantasy,thriller;2018-12-21;1 season, 8 episodes;1;8;36–44 min.;36;44;Renewed;1;ForeignLanguage;Spanish;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Jailbirds;reality television;reality,television;2019-05-10;1 season, 10 episodes;1;10;37–47 min.;37;47;Pending;1;Reality;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
White Rabbit Project;science investigation;science,investigation;2016-12-09;1 season, 10 episodes;1;10;45–48 min.;45;48;Ended;0;Reality;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Best.Worst.Weekend.Ever.;comedy;comedy;2018-10-19;8 episodes;0;8;22–28 min.;22;28;Miniseries;0;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Chef's Table;culinary art;culinary,art;2015-04-26;6 volumes, 30 episodes;0;30;42–58 min.;42;58;Renewed;1;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Ugly Delicious;travel documentary;travel,documentary;2018-02-23;1 season, 8 episodes;1;8;46–55 min.;46;55;Renewed;1;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Super Drags;superhero-lgbt comedy;superhero-lgbt,comedy;2018-11-09;1 season, 5 episodes;1;5;23–26 min.;23;26;Ended;0;Animation;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Crime Diaries: Night Out;crime anthology series;crime,anthology,series;2019-05-03;8 episodes;0;8;38–48 min.;38;48;Miniseries;0;ForeignLanguage;Spanish;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Neo Yokio;science fantasy comedy;science,fantasy,comedy;2017-09-22;2 seasons, 7 episodes;2;7;20–65 min.;20;65;Ended;0;Anime;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Fire Chasers;miniseries;miniseries;2017-09-08;4 episodes;0;4;50–58 min.;50;58;Miniseries;0;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
The Curious Creations of Christine McConnell;cooking show;cooking,show;2018-10-12;1 season, 6 episodes;1;6;24–29 min.;24;29;Ended;0;Reality;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Bloodline;thriller;thriller;2015-03-20;3 seasons, 33 episodes;3;33;48–68 min.;48;68;Ended;0;Drama;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
American Vandal;mockumentary;mockumentary;2017-09-15;2 seasons, 16 episodes;2;16;26–42 min.;26;42;Ended;0;Comedy;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
On My Block;coming-of-age comedy;coming-of-age,comedy;2018-03-16;2 seasons, 20 episodes;2;20;23–32 min.;23;32;Renewed;1;Comedy;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Brainchild;educational;educational;2018-11-02;1 season, 13 episodes;1;13;22–25 min.;22;25;Pending;1;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
What/If;social thriller anthology;social,thriller,anthology;2019-05-24;1 part, 10 episodes;0;10;44–58 min.;44;58;Pending;1;Drama;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Malibu Rescue: The Series;comedy;comedy;2019-06-03;1 season, 8 episodes;1;8;22–26 min.;22;26;Pending;1;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Larva Island;childrens-animation;childrens-animation;2018-10-19;2 seasons, 26 episodes;2;26;8 min.;8;8;Pending;1;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Dance & Sing with True;chrildrens musical short;chrildrens,musical,short;2018-05-18;1 season, 11 episodes;1;11;2 min.;2;2;Pending;1;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Dogs of Berlin;drama;drama;2018-12-07;1 season, 10 episodes;1;10;51–62 min.;51;62;Pending;1;ForeignLanguage;German;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Dope;documentary;documentary;2017-12-22;2 seasons, 8 episodes;2;8;43–48 min.;43;48;Renewed;1;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
The Good Cop;police procedural comedy-drama;police,procedural,comedy-drama;2018-09-21;1 season, 10 episodes;1;10;43–49 min.;43;49;Ended;0;Drama;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Llama Llama;childrens-animation;childrens-animation;2018-01-26;1 season, 15 episodes;1;15;24 min.;24;24;Renewed;1;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Dragons: Race to the Edge;childrens-animation;childrens-animation;2015-06-26;6 seasons, 78 episodes;6;78;22–23 min.;22;23;Ended;0;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
A Series of Unfortunate Events;black-comedy mystery;black-comedy,mystery;2017-01-13;3 seasons, 25 episodes;3;25;36–64 min.;36;64;Ended;0;Drama;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
FightWorld;travel documentary;travel,documentary;2018-10-12;1 season, 5 episodes;1;5;41–44 min.;41;44;Pending;1;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
The Who Was? Show;educational;educational;2018-05-11;1 season, 13 episodes;1;13;23–27 min.;23;27;Pending;1;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Always a Witch;supernatural drama;supernatural,drama;2019-02-01;1 season, 10 episodes;1;10;39–43 min.;39;43;Renewed;1;ForeignLanguage;Spanish;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Cricket Fever: Mumbai Indians;sport;sport;2019-03-01;1 season, 8 episodes;1;8;33–44 min.;33;44;Pending;1;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
7 Days Out;docu-series;docu-series;2018-12-21;1 season, 6 episodes;1;6;47–48 min.;47;48;Pending;1;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
0.03;science fiction;science-fiction;2016-11-25;3 seasons, 26 episodes;3;26;38–51 min.;38;51;Pending;1;ForeignLanguage;Portuguese;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Marco Polo;historical drama;historical,drama;2014-12-12;2 seasons, 20 episodes;2;20;48–65 min.;48;65;Ended;0;Drama;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Lady Dynamite;comedy;comedy;2016-05-20;2 seasons, 20 episodes;2;20;26–36 min.;26;36;Ended;0;Comedy;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Sword Gai: The Animation;supernatural;supernatural;2018-03-23;2 seasons, 24 episodes;2;24;22–23 min.;22;23;Pending;1;Anime;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
All Hail King Julien: Exiled;childrens-animation;childrens-animation;2017-05-12;1 season, 13 episodes;1;13;23 min.;23;23;Ended;0;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Awake: The Million Dollar Game;reality television;reality,television;2019-06-14;1 season, 8 episodes;1;8;35–41 min.;35;41;Pending;1;Reality;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Inside the Real Narcos;docu-series;docu-series;2018-12-14;1 season, 3 episodes;1;3;45–46 min.;45;46;Pending;1;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
BoJack Horseman;black comedy-drama;black,comedy-drama;2014-08-22;5 seasons, 61 episodes;5;61;25–26 min.;25;26;Renewed;1;Animation;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Switched;science fiction;science-fiction;2018-08-01;1 season, 6 episodes;1;6;33–44 min.;33;44;Ended;0;ForeignLanguage;Japanese;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
The Toys That Made Us;documentary;documentary;2017-12-22;2 seasons, 8 episodes;2;8;43–51 min.;43;51;Renewed;1;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Super Monsters Monster Party;chrildrens musical short;chrildrens,musical,short;2018-09-14;1 season, 4 episodes;1;4;2 min.;2;2;Pending;1;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
72 Dangerous Animals: Asia;nature;nature;2018-08-10;1 season, 12 episodes;1;12;44–48 min.;44;48;Pending;1;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Girlboss;comedy;comedy;2017-04-21;1 season, 13 episodes;1;13;24–29 min.;24;29;Ended;0;Comedy;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Suburra: Blood on Rome;crime drama;crime,drama;2017-10-06;2 seasons, 18 episodes;2;18;42–62 min.;42;62;Renewed;1;ForeignLanguage;Italian;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Hot Girls Wanted: Turned On;documentary;documentary;2017-04-21;6 episodes;0;6;41–58 min.;41;58;Miniseries;0;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Haunted;horror;horror;2018-10-19;1 season, 6 episodes;1;6;20–31 min.;20;31;Pending;1;Reality;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Nailed It! Mexico;reality;reality;2019-02-08;1 season, 6 episodes;1;6;32–34 min.;32;34;Pending;1;Reality;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Justin Time GO!;childrens-animation;childrens-animation;2016-06-24;1 season, 13 episodes;1;13;22 min.;22;22;Ended;0;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Yankee;drama;drama;2019-06-14;1 season, 25 episodes;1;25;36–44 min.;36;44;Pending;1;ForeignLanguage;Spanish;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
72 Dangerous Animals: Latin America;nature;nature;2017-12-22;1 season, 12 episodes;1;12;41–46 min.;41;46;Ended;0;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
1994;docu-series;docu-series;2019-05-17;5 episodes;0;5;44–52 min.;44;52;Miniseries;0;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Captive;documentary;documentary;2016-12-09;8 episodes;0;8;59–73 min.;59;73;Miniseries;0;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Trolls: The Beat Goes On!;childrens-animation;childrens-animation;2018-01-19;6 seasons, 38 episodes;6;38;24–25 min.;24;25;Pending;1;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Russell Peters Vs. the World;comedy;comedy;2013-10-03;1 season, 4 episodes;1;4;26–29 min.;26;29;Ended;0;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Greenhouse Academy;science fiction/teen drama;science-fiction,teen,drama;2017-09-08;2 seasons, 24 episodes;2;24;21–28 min.;21;28;Renewed;1;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Wild Wild Country;documentary;documentary;2018-03-16;6 episodes;0;6;64–72 min.;64;72;Miniseries;0;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Motown Magic;childrens-animation;childrens-animation;2018-11-20;1 season, 25 episodes;1;25;15–26 min.;15;26;Renewed;1;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
The Umbrella Academy;superhero action;superhero,action;2019-02-15;1 season, 10 episodes;1;10;45–60 min.;45;60;Renewed;1;Drama;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Kulipari: Dream Walker;childrens-animation;childrens-animation;2018-11-20;1 season, 10 episodes;1;10;23 min.;23;23;Pending;1;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
The Ponysitters Club;drama;drama;2018-08-10;2 seasons, 20 episodes;2;20;23 min.;23;23;Pending;1;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
A Little Help with Carol Burnett;variety show;variety,show;2018-05-04;1 season, 12 episodes;1;12;21–29 min.;21;29;Ended;0;VarietyTalk;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Castlevania;dark fantasy;dark,fantasy;2017-07-07;2 seasons, 12 episodes;2;12;23–29 min.;23;29;Renewed;1;Anime;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Narcos: Mexico;crime drama;crime,drama;2018-11-16;1 season, 10 episodes;1;10;55–70 min.;55;70;Renewed;1;Drama;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Trailer Park Boys Out of the Park: USA;mockumentary;mockumentary;2017-11-24;1 season, 8 episodes;1;8;23–35 min.;23;35;Ended;0;Comedy;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
A.I.C.O. -Incarnation-;science fiction;science-fiction;2018-03-09;1 season, 12 episodes;1;12;25–29 min.;25;29;Ended;0;Anime;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Edgar Rice Burroughs' Tarzan and Jane;childrens-animation;childrens-animation;2017-01-06;2 seasons, 13 episodes;2;13;22 min.;22;22;Ended;0;Children;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Marseille;political drama;political,drama;2016-05-05;2 seasons, 16 episodes;2;16;35–53 min.;35;53;Ended;0;ForeignLanguage;French;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Dating Around;reality;reality;2019-02-14;1 season, 6 episodes;1;6;24–30 min.;24;30;Pending;1;Reality;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Gypsy;psychological thriller;psychological,thriller;2017-06-30;1 season, 10 episodes;1;10;46–58 min.;46;58;Ended;0;Drama;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Selling Sunset;reality;reality;2019-03-22;1 season, 8 episodes;1;8;28–42 min.;28;42;Pending;1;Reality;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
The Order;supernatural horror drama;supernatural,horror,drama;2019-03-07;1 season, 10 episodes;1;10;42–51 min.;42;51;Renewed;1;Drama;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
The Keepers;crime drama;crime,drama;2017-05-19;7 episodes;0;7;56–66 min.;56;66;Miniseries;0;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Cooked;culinary art;culinary,art;2016-02-19;4 episodes;0;4;50–58 min.;50;58;Miniseries;0;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
The Defenders;superhero action/drama;superhero,action,drama;2017-08-18;8 episodes;0;8;44–57 min.;44;57;Miniseries;0;Marvel;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Jimmy: The True Story of a True Idiot;comedy;comedy;2018-07-20;1 season, 9 episodes;1;9;39–64 min.;39;64;Pending;1;ForeignLanguage;Japanese;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Chef's Table: France;culinary art;culinary,art;2016-09-02;1 season, 4 episodes;1;4;41–54 min.;41;54;Ended;0;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
The Innocent Man;true crime;true,crime;2018-12-14;6 episodes;0;6;42–52 min.;42;52;Miniseries;0;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Kingdom;fantasy;fantasy;2019-01-25;1 season, 6 episodes;1;6;44–57 min.;44;57;Renewed;1;ForeignLanguage;Korean;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Dirty Money;documentary;documentary;2018-01-26;1 season, 6 episodes;1;6;50–77 min.;50;77;Renewed;1;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Vai Anitta;docu-series;docu-series;2018-11-16;1 season, 6 episodes;1;6;25–35 min.;25;35;Pending;1;DocuSeries;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Patriot Act with Hasan Minhaj;talk show;talk,show;2018-10-28;3 volumes, 19 episodes;0;19;23–30 min.;23;30;Renewed;1;VarietyTalk;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
Lunatics;comedy;comedy;2019-04-19;1 season, 10 episodes;1;10;33–38 min.;33;38;Pending;1;Comedy;English;2021-03-16T18:20:24.167-03:00;2022-11-02T21:43:18.061-03:00
